id,query,intent,product_name,brand,category,retailer,pack_size
1,"Where is Coke Zero cheapest?","price_comparison","Coke Zero","","","",""
2,"Compare Nutella prices at different stores","price_comparison","Nutella","","","",""
3,"Which supermarket has the cheapest full cream milk?","price_comparison","full cream milk","","","",""
4,"Find Coca Cola","product_search","Coca Cola","","","",""
5,"Search for Nutella","product_search","Nutella","","","",""
6,"Show me Weet-Bix","product_search","Weet-Bix","","","",""
7,"Show me the details for Nutella","product_details","Nutella","","","",""
8,"What is the price of Weet-Bix?","product_details","Weet-Bix","","","",""
9,"Tell me about this Coke product","product_details","Coke","","","",""
10,"Show me products from Aldi","retailer_search","","","","Aldi",""
11,"What products are available at Coles?","retailer_search","","","","Coles",""
12,"Find products sold by Woolworths","retailer_search","","","","Woolworths",""
13,"Show me breakfast cereals","category_search","","","breakfast cereals","",""
14,"Find gluten-free cereals","category_search","","","cereals","",""
15,"Show me dairy products","category_search","","","dairy","",""
16,"Find a cheaper alternative to Nutella","product_substitution","Nutella","","","",""
17,"What can I buy instead of Coke?","product_substitution","Coke","","","",""
18,"Find a cheaper option than Weet-Bix","product_substitution","Weet-Bix","","","",""
19,"What is the weather today?","no_action","","","","",""
20,"Tell me a joke","no_action","","","","",""
21,"How do I cook pasta?","no_action","","","","",""
22,"How much is 2L Coke at Coles and Woolworths?","price_comparison","Coke","","","Coles;Woolworths","2L"
23,"Is Coca-Cola cheaper at Coles or Woolworths?","price_comparison","Coca-Cola","Coca-Cola","","Coles;Woolworths",""
24,"Compare Coke Zero 2L prices","price_comparison","Coke Zero","","","","2L"
25,"Which store sells Weet-Bix for less?","price_comparison","Weet-Bix","","","",""
26,"Compare Coke","price_comparison","Coke","","","",""
27,"Which Coke is cheapest?","price_comparison","Coke","","","",""
28,"Which store has the lowest price for Coca Cola?","price_comparison","Coca Cola","","","",""
29,"Can you compare the price of milk at Coles and Woolworths?","price_comparison","milk","","","Coles;Woolworths",""
30,"Where can I buy Nutella for the best price?","price_comparison","Nutella","","","",""
31,"Which supermarket has the cheapest Weet-Bix?","price_comparison","Weet-Bix","","","",""
32,"Compare prices for 2L Coke Zero across supermarkets","price_comparison","Coke Zero","","","","2L"
33,"Which retailer offers the best deal on laundry detergent?","price_comparison","laundry detergent","","","",""
34,"Can you find the cheapest option for full cream milk?","price_comparison","full cream milk","","","",""
35,"Where is the best price for Kellogg's Corn Flakes?","price_comparison","Corn Flakes","Kellogg's","","",""
36,"I need to buy pasta","product_search","pasta","","","",""
37,"Search for chocolate biscuits","product_search","chocolate biscuits","","","",""
38,"Can you find some orange juice?","product_search","orange juice","","","",""
39,"Show me Coca Cola products","product_search","Coca Cola","","","",""
40,"I am looking for breakfast cereal","product_search","breakfast cereal","","","",""
41,"Find me some laundry detergent","product_search","laundry detergent","","","",""
42,"Do you have any Greek yoghurt?","product_search","Greek yoghurt","","","",""
43,"Search for Bega peanut butter","product_search","peanut butter","Bega","","",""
44,"What information do you have about Coca Cola?","product_details","Coca Cola","","","",""
45,"Tell me the size and price of Nutella","product_details","Nutella","","","",""
46,"What are the details of this milk product?","product_details","milk","","","",""
47,"How much does the Weet-Bix pack cost?","product_details","Weet-Bix","","","",""
48,"What size is the Coke Zero bottle?","product_details","Coke Zero","","","",""
49,"Tell me more about this cereal","product_details","cereal","","","",""
50,"What products can I find at Woolworths?","retailer_search","","","","Woolworths",""
51,"Show me everything available from Aldi","retailer_search","","","","Aldi",""
52,"What can I buy at Coles?","retailer_search","","","","Coles",""
53,"Find products sold by IGA","retailer_search","","","","IGA",""
54,"What deals are available at Woolworths?","retailer_search","","","","Woolworths",""
55,"Show me products from Costco","retailer_search","","","","Costco",""
56,"What dairy products can I find?","category_search","","","dairy","",""
57,"Show me snacks","category_search","","","snacks","",""
58,"Find products in the frozen food category","category_search","","","frozen food","",""
59,"Show me cleaning products","category_search","","","cleaning products","",""
60,"I want to see breakfast foods","category_search","","","breakfast foods","",""
61,"Find products suitable for a gluten-free diet","category_search","","","gluten-free","",""
62,"Show me fresh fruit and vegetables","category_search","","","fresh produce","",""
63,"What household essentials are available?","category_search","","","household essentials","",""
64,"Is there a cheaper alternative to Coca Cola?","product_substitution","Coca Cola","","","",""
65,"Can you suggest an alternative to Nutella?","product_substitution","Nutella","","","",""
66,"Find something similar but cheaper than Weet-Bix","product_substitution","Weet-Bix","","","",""
67,"What can I buy instead of Pepsi?","product_substitution","Pepsi","","","",""
68,"Suggest a cheaper alternative to premium chocolate","product_substitution","premium chocolate","","","",""
69,"Can you recommend a substitute for full cream milk?","product_substitution","full cream milk","","","",""
70,"Is there a cheaper option than Kellogg's Corn Flakes?","product_substitution","Corn Flakes","Kellogg's","","",""
71,"Find an alternative product to Bega peanut butter","product_substitution","peanut butter","Bega","","",""
72,"What is the weather today?","no_action","","","","",""
73,"Tell me a joke","no_action","","","","",""
74,"What time is it?","no_action","","","","",""
75,"How do I cook pasta?","no_action","","","","",""
76,"Who won the football game?","no_action","","","","",""
77,"Can you write me a poem?","no_action","","","","",""
78,"Search for some breakfast cereal","product_search","breakfast cereal","","","",""
79,"Can you find chocolate milk?","product_search","chocolate milk","","","",""
80,"Look for Bega peanut butter","product_search","peanut butter","Bega","","",""
81,"Show me some pasta products","product_search","pasta","","","",""
82,"I want to find orange juice","product_search","orange juice","","","",""
83,"Find me laundry detergent","product_search","laundry detergent","","","",""
84,"What snacks are available?","category_search","","","snacks","",""
85,"Show me products in the drinks category","category_search","","","drinks","",""
86,"Find dairy products","category_search","","","dairy","",""
87,"What cereal products do you have?","category_search","","","cereal","",""
88,"Show me products from the bakery category","category_search","","","bakery","",""
89,"What chocolate products are available?","category_search","","","chocolate","",""
90,"Can you find a cheaper replacement for Milo?","product_substitution","Milo","","","",""
91,"What is a similar product to Nutella?","product_substitution","Nutella","","","",""
92,"Is there something cheaper than Coke Zero?","product_substitution","Coke Zero","","","",""
93,"What could I buy instead of Weet-Bix?","product_substitution","Weet-Bix","","","",""
94,"Find me an alternative to Bega peanut butter","product_substitution","peanut butter","Bega","","",""
95,"Can you suggest a substitute for full cream milk?","product_substitution","full cream milk","","","",""
96,"What brand is this product?","product_details","","","","",""
97,"Tell me more about this product","product_details","","","","",""
98,"What is the pack size of Nutella?","product_details","Nutella","","","",""
99,"How much does Coke Zero cost?","product_details","Coke Zero","","","",""
100,"What information is available for Weet-Bix?","product_details","Weet-Bix","","","",""
101,"What size is the milk product?","product_details","milk","","","",""
102,"What are the details of this cereal?","product_details","cereal","","","",""
103,"Tell me the price and size of this product","product_details","","","","",""
104,"What products are sold at Woolworths?","retailer_search","","","","Woolworths",""
105,"Show me products available at Aldi","retailer_search","","","","Aldi",""
106,"What can I find at IGA?","retailer_search","","","","IGA",""
107,"Which products are available at Coles?","retailer_search","","","","Coles",""
108,"Show me what Costco has available","retailer_search","","","","Costco",""
109,"What products does Woolworths have?","retailer_search","","","","Woolworths",""
110,"Find products sold at Aldi","retailer_search","","","","Aldi",""
111,"What can I buy from IGA?","retailer_search","","","","IGA",""
112,"How is the weather today?","no_action","","","","",""
113,"Tell me a joke","no_action","","","","",""
114,"Who won the football game?","no_action","","","","",""
115,"What time is it?","no_action","","","","",""
116,"Can you help me with my homework?","no_action","","","","",""
117,"Tell me about the latest movies","no_action","","","","",""
118,"What is the capital of Australia?","no_action","","","","",""
119,"Write me a short poem","no_action","","","","",""
120,"Find Nutella","product_search","Nutella","","","",""
121,"Search for Nutella","product_search","Nutella","","","",""
122,"Can you find Nutella for me?","product_search","Nutella","","","",""
123,"Show me Nutella products","product_search","Nutella","","","",""
124,"I am looking for Nutella","product_search","Nutella","","","",""
125,"Where can I find Nutella?","product_search","Nutella","","","",""
126,"Find Coke Zero","product_search","Coke Zero","","","",""
127,"Search for Weet-Bix","product_search","Weet-Bix","","","",""
128,"Can you find Milo?","product_search","Milo","","","",""
129,"Show me Bega peanut butter","product_search","peanut butter","Bega","","",""
130,"Find a cheaper alternative to Nutella","product_substitution","Nutella","","","",""
131,"What can I use instead of Nutella?","product_substitution","Nutella","","","",""
132,"Show me alternatives to Nutella","product_substitution","Nutella","","","",""
133,"Is there something similar to Nutella?","product_substitution","Nutella","","","",""
134,"Can you replace Nutella with another product?","product_substitution","Nutella","","","",""
135,"Find a cheaper substitute for Coke Zero","product_substitution","Coke Zero","","","",""
136,"Show me products from Coles","retailer_search","","","","Coles",""
137,"Find products sold at Coles","retailer_search","","","","Coles",""
138,"What products are available at Coles?","retailer_search","","","","Coles",""
139,"Search the Coles catalogue","retailer_search","","","","Coles",""
140,"What can I buy from Coles?","retailer_search","","","","Coles",""
141,"Show me Woolworths products","retailer_search","","","","Woolworths",""
142,"Find products from Aldi","retailer_search","","","","Aldi",""
143,"What is available at IGA?","retailer_search","","","","IGA",""
144,"Show me dairy products","category_search","","","dairy","",""
145,"Find products in the dairy category","category_search","","","dairy","",""
146,"What snacks are available?","category_search","","","snacks","",""
147,"Show me drinks","category_search","","","drinks","",""
148,"Find products in the cereal category","category_search","","","cereal","",""
149,"What chocolate products are available?","category_search","","","chocolate","",""
150,"What is the price of Nutella?","product_details","Nutella","","","",""
151,"What brand makes this product?","product_details","","","","",""
152,"What is the pack size of Weet-Bix?","product_details","Weet-Bix","","","",""
153,"Can you tell me more about Coke Zero?","product_details","Coke Zero","","","",""
154,"What are the details of Nutella?","product_details","Nutella","","","",""
155,"How big is the Coke Zero pack?","product_details","Coke Zero","","","",""
156,"Can you write me a poem?","no_action","","","","",""
157,"What is the capital of France?","no_action","","","","",""
158,"Tell me a funny joke","no_action","","","","",""
159,"Who is the president of the United States?","no_action","","","","",""
160,"Can you explain quantum physics?","no_action","","","","",""
161,"What is the meaning of life?","no_action","","","","",""
162,"Which supermarket has the lowest price for milk?","price_comparison","milk","","","",""
163,"Where can I get Nutella for the cheapest price?","price_comparison","Nutella","","","",""
164,"Which store sells Coke Zero for less?","price_comparison","Coke Zero","","","",""
165,"Compare the prices of Weet-Bix","price_comparison","Weet-Bix","","","",""
166,"Which retailer offers the cheapest laundry detergent?","price_comparison","laundry detergent","","","",""
167,"Show me the price difference between Coles and Woolworths for milk","price_comparison","milk","","","Coles;Woolworths",""
168,"Find snack products","category_search","","","snacks","",""
169,"Show me snack products","category_search","","","snacks","",""
170,"What snack products are available?","category_search","","","snacks","",""
171,"Find products in the snacks category","category_search","","","snacks","",""
172,"Show me some dairy products","category_search","","","dairy","",""
173,"What products are available in the drinks category?","category_search","","","drinks","",""
